date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-06-07,86,96,98,67,86,52,97,96,37080,31920,5160,8370,19320,4230,41,86,840,18600,,2020-06-06T21:57:31+10:00,2020-06-07T08:15:31+10:00,66.36,60,29,-0.01,13.625,59,77,95,1,40,61,100,361,2529,500,6445,5974,541,633,159,46,0,61,1.375,1,81,87,81,84,90,100,66,66,100
2020-06-08,91,100,100,95,93,55,86,100,38400,34020,4380,9660,18270,6090,40,89,600,19050,,2020-06-07T21:32:03+10:00,2020-06-08T08:12:03+10:00,62.97,56,40,0.19,13.625,60,81,100,1,40,60,100,180,2313,650,2969,2560,508,779,139,14,0,0,1.25,0,89,96,83,92,94,89,100,71,100
2020-06-09,86,99,92,76,86,51,86,100,38580,33030,5550,6840,21390,4800,45,86,1170,19620,,2020-06-08T19:00:30+10:00,2020-06-09T05:43:30+10:00,61.79,54,43,0.04,13.75,52,48,78,1,40,56,100,106,2293,650,1993,1357,771,570,91,8,0,0,1.25,2,88,86,85,99,91,100,95,76,96
2020-06-10,86,92,87,96,81,56,91,100,36840,30870,5970,6480,17610,6780,39,84,690,19110,,2020-06-09T19:43:32+10:00,2020-06-10T05:57:32+10:00,61.18,54,44,-0.12,14.125,58,60,100,1,40,65,100,329,2545,650,5797,5515,670,553,185,31,1,0,1.375,0,88,86,85,87,87,100,99,82,96
2020-06-11,88,95,97,95,86,60,75,100,36960,31590,5370,7800,17730,6060,38,85,360,18000,,2020-06-10T20:21:48+10:00,2020-06-11T06:37:48+10:00,66.61,58,30,0.11,14.125,50,38,60,1,40,64,100,188,2412,500,3345,2792,846,446,130,18,0,0,1.3125,3,84,90,86,85,91,95,65,78,100
2020-06-12,73,68,71,87,86,53,70,95,28440,24390,4050,5340,13590,5460,39,86,240,14460,,2020-06-11T23:07:43+10:00,2020-06-12T07:01:43+10:00,63.16,56,35,-0.23,14,53,56,60,1,40,67,100,307,2490,500,6299,5442,709,446,199,28,0,58,1.375,3,80,61,80,80,90,97,100,79,67
2020-06-13,84,100,100,100,93,57,86,24,43380,38820,4560,10380,19680,8760,37,89,600,21630,,2020-06-12T23:29:19+10:00,2020-06-13T11:32:19+10:00,64.54,57,41,-0.44,14.25,59,78,95,1,40,58,100,140,2220,650,2643,2275,524,793,116,7,0,0,1.1875,1,87,83,87,84,93,90,82,83,99
2020-06-14,85,100,100,98,88,59,89,34,42480,37110,5370,9150,20370,7590,35,87,660,22290,,2020-06-13T22:58:19+10:00,2020-06-14T10:46:19+10:00,68.63,55,34,0.01,14.5,56,86,100,1,1,57,100,295,2405,500,5878,5414,469,759,193,18,1,0,1.28125,0,82,85,93,99,92,100,65,81,47
2020-06-15,76,83,65,87,81,56,54,100,33780,28500,5280,4830,18210,5460,37,84,1890,17490,,2020-06-14T21:51:00+10:00,2020-06-15T07:14:00+10:00,63.34,54,41,-0.11,13.5,51,57,95,1,1,53,100,268,2490,300,5237,4420,654,527,249,9,1,0,1.375,1,85,67,89,96,96,100,100,84,57
2020-06-16,73,73,84,85,88,56,89,43,29820,25920,3900,6210,14370,5340,37,87,660,15330,,2020-06-16T00:37:36+10:00,2020-06-16T08:54:36+10:00,66.58,57,40,-0.19,14.5,56,89,95,1,1,53,100,323,2450,500,6628,5859,446,748,225,21,0,0,1.3125,1,78,61,83,96,100,98,65,86,59
