date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2021-05-23,82,80,98,62,88,77,78,100,31740,27720,4020,8220,15570,3930,16,87,420,15720,,2021-05-22T22:37:08-04:00,2021-05-23T07:26:08-04:00,64.38,55,22,-0.47,13.625,92,56,100,95,100,100,100,686,2966,500,8469,11597,692,455,196,97,0,0,1.5625,0,75,75,None,0,0,86,89,None,54
2021-05-24,66,67,76,1,79,79,83,70,29400,24360,5040,5700,18600,60,24,83,540,14610,,2021-05-23T23:55:16-04:00,2021-05-24T08:05:16-04:00,64.8,54,17,-0.18,13.75,90,74,100,78,100,98,100,288,2513,500,6482,4969,561,539,192,19,0,129,1.3125,0,75,58,None,85,0,98,94,None,58
2021-05-25,84,94,100,26,96,81,83,84,34560,31380,3180,13530,16140,1710,25,91,510,17400,,2021-05-24T22:40:13-04:00,2021-05-25T08:16:13-04:00,62.5,54,22,-0.11,14.25,89,96,100,60,100,98,100,581,2812,700,8265,10044,372,597,195,82,0,194,1.46875,0,93,90,92,94,95,100,91,None,100
2021-05-26,80,92,100,26,88,78,48,99,32340,28800,3540,10590,17250,960,23,89,2010,16710,,2021-05-25T21:56:37-04:00,2021-05-26T06:55:37-04:00,69.12,58,21,-0.11,14.375,85,69,100,60,100,98,100,439,2721,500,9302,7348,608,552,222,54,0,4,1.4375,0,77,82,83,93,78,100,83,None,14
2021-05-27,83,100,100,1,97,71,91,90,37020,34200,2820,12150,22050,0,21,92,690,18540,,2021-05-26T22:10:26-04:00,2021-05-27T08:27:26-04:00,67.66,58,20,0.05,14.75,87,84,100,60,100,98,100,526,2751,500,6292,9232,474,608,213,50,1,94,1.4375,0,82,87,90,88,82,100,64,None,76
2021-05-28,82,89,100,13,100,82,78,97,31680,30090,1590,9000,20190,900,26,95,420,15870,,2021-05-27T22:39:31-04:00,2021-05-28T07:27:31-04:00,67.16,57,19,0.1,14.25,78,55,95,43,100,96,100,318,2607,500,7113,5421,719,437,272,12,0,0,1.375,1,84,85,88,92,80,97,67,None,94
2021-05-29,75,88,100,1,96,80,86,44,32580,29700,2880,10050,19650,0,24,91,570,16380,,2021-05-29T00:17:23-04:00,2021-05-29T09:20:23-04:00,70.07,60,21,0.25,14.125,82,81,100,43,100,96,100,384,2545,500,3473,6569,483,751,161,44,1,0,1.3125,0,74,73,88,85,85,85,69,None,24
2021-05-30,81,92,100,9,97,77,75,100,33600,30900,2700,11280,19020,600,25,92,330,16740,,2021-05-29T21:45:11-04:00,2021-05-30T07:05:11-04:00,68.8,58,18,0.06,14.375,70,54,60,25,100,96,100,352,2621,500,7447,6021,728,477,199,36,0,0,1.375,3,80,85,90,96,85,100,70,75,46
2021-05-31,77,80,100,10,99,88,67,81,29580,27720,1860,10320,16740,660,24,94,150,14730,,2021-05-30T23:30:04-04:00,2021-05-31T07:43:04-04:00,68.49,57,19,-0.01,14.25,78,81,100,25,100,95,100,396,2681,500,8163,6753,507,568,268,29,1,67,1.40625,0,75,77,86,84,87,100,73,76,22
2021-06-01,86,99,100,33,90,77,81,96,37800,33180,4620,12330,18690,2160,20,88,450,18870,,2021-05-31T21:52:30-04:00,2021-06-01T08:22:30-04:00,68.41,56,20,0.09,14.625,78,82,100,25,100,96,100,607,2888,700,9030,10662,480,541,286,62,0,71,1.53125,0,90,96,91,93,86,97,100,77,80
